"Method","Paradigm","arm_a","arm_b","jaccard"
"svm","gsea","zscore","zscore",1
"svm","gsea","zscore","deseq2",0.4037
"svm","gsea","zscore","ruvg",0.4175
"svm","gsea","zscore","combat_ref",0.3438
"svm","gsea","deseq2","zscore",0.4037
"svm","gsea","deseq2","deseq2",1
"svm","gsea","deseq2","ruvg",0.4099
"svm","gsea","deseq2","combat_ref",0.3443
"svm","gsea","ruvg","zscore",0.4175
"svm","gsea","ruvg","deseq2",0.4099
"svm","gsea","ruvg","ruvg",1
"svm","gsea","ruvg","combat_ref",0.3351
"svm","gsea","combat_ref","zscore",0.3438
"svm","gsea","combat_ref","deseq2",0.3443
"svm","gsea","combat_ref","ruvg",0.3351
"svm","gsea","combat_ref","combat_ref",1
"svm","ora","zscore","zscore",1
"svm","ora","zscore","deseq2",0.3409
"svm","ora","zscore","ruvg",0.4362
"svm","ora","zscore","combat_ref",0.4103
"svm","ora","deseq2","zscore",0.3409
"svm","ora","deseq2","deseq2",1
"svm","ora","deseq2","ruvg",0.3098
"svm","ora","deseq2","combat_ref",0.495
"svm","ora","ruvg","zscore",0.4362
"svm","ora","ruvg","deseq2",0.3098
"svm","ora","ruvg","ruvg",1
"svm","ora","ruvg","combat_ref",0.4022
"svm","ora","combat_ref","zscore",0.4103
"svm","ora","combat_ref","deseq2",0.495
"svm","ora","combat_ref","ruvg",0.4022
"svm","ora","combat_ref","combat_ref",1
"glm","gsea","zscore","zscore",1
"glm","gsea","zscore","deseq2",0.489
"glm","gsea","zscore","ruvg",0.4355
"glm","gsea","zscore","combat_ref",0.399
"glm","gsea","deseq2","zscore",0.489
"glm","gsea","deseq2","deseq2",1
"glm","gsea","deseq2","ruvg",0.4456
"glm","gsea","deseq2","combat_ref",0.3725
"glm","gsea","ruvg","zscore",0.4355
"glm","gsea","ruvg","deseq2",0.4456
"glm","gsea","ruvg","ruvg",1
"glm","gsea","ruvg","combat_ref",0.3549
"glm","gsea","combat_ref","zscore",0.399
"glm","gsea","combat_ref","deseq2",0.3725
"glm","gsea","combat_ref","ruvg",0.3549
"glm","gsea","combat_ref","combat_ref",1
"glm","ora","zscore","zscore",1
"glm","ora","zscore","deseq2",0.328
"glm","ora","zscore","ruvg",0.5098
"glm","ora","zscore","combat_ref",0.4393
"glm","ora","deseq2","zscore",0.328
"glm","ora","deseq2","deseq2",1
"glm","ora","deseq2","ruvg",0.4202
"glm","ora","deseq2","combat_ref",0.2908
"glm","ora","ruvg","zscore",0.5098
"glm","ora","ruvg","deseq2",0.4202
"glm","ora","ruvg","ruvg",1
"glm","ora","ruvg","combat_ref",0.4868
"glm","ora","combat_ref","zscore",0.4393
"glm","ora","combat_ref","deseq2",0.2908
"glm","ora","combat_ref","ruvg",0.4868
"glm","ora","combat_ref","combat_ref",1
"elasticnet","gsea","zscore","zscore",NA
"elasticnet","gsea","zscore","deseq2",0
"elasticnet","gsea","zscore","ruvg",NA
"elasticnet","gsea","zscore","combat_ref",NA
"elasticnet","gsea","deseq2","zscore",0
"elasticnet","gsea","deseq2","deseq2",1
"elasticnet","gsea","deseq2","ruvg",0
"elasticnet","gsea","deseq2","combat_ref",0
"elasticnet","gsea","ruvg","zscore",NA
"elasticnet","gsea","ruvg","deseq2",0
"elasticnet","gsea","ruvg","ruvg",NA
"elasticnet","gsea","ruvg","combat_ref",NA
"elasticnet","gsea","combat_ref","zscore",NA
"elasticnet","gsea","combat_ref","deseq2",0
"elasticnet","gsea","combat_ref","ruvg",NA
"elasticnet","gsea","combat_ref","combat_ref",NA
"elasticnet","ora","zscore","zscore",1
"elasticnet","ora","zscore","deseq2",0.0192
"elasticnet","ora","zscore","ruvg",0.0909
"elasticnet","ora","zscore","combat_ref",0.0769
"elasticnet","ora","deseq2","zscore",0.0192
"elasticnet","ora","deseq2","deseq2",1
"elasticnet","ora","deseq2","ruvg",0.0517
"elasticnet","ora","deseq2","combat_ref",0.1667
"elasticnet","ora","ruvg","zscore",0.0909
"elasticnet","ora","ruvg","deseq2",0.0517
"elasticnet","ora","ruvg","ruvg",1
"elasticnet","ora","ruvg","combat_ref",0.1
"elasticnet","ora","combat_ref","zscore",0.0769
"elasticnet","ora","combat_ref","deseq2",0.1667
"elasticnet","ora","combat_ref","ruvg",0.1
"elasticnet","ora","combat_ref","combat_ref",1
"xgboost","ora","zscore","zscore",1
"xgboost","ora","zscore","deseq2",0.0909
"xgboost","ora","zscore","ruvg",0.0714
"xgboost","ora","zscore","combat_ref",0.027
"xgboost","ora","deseq2","zscore",0.0909
"xgboost","ora","deseq2","deseq2",1
"xgboost","ora","deseq2","ruvg",0.087
"xgboost","ora","deseq2","combat_ref",0.0588
"xgboost","ora","ruvg","zscore",0.0714
"xgboost","ora","ruvg","deseq2",0.087
"xgboost","ora","ruvg","ruvg",1
"xgboost","ora","ruvg","combat_ref",0.125
"xgboost","ora","combat_ref","zscore",0.027
"xgboost","ora","combat_ref","deseq2",0.0588
"xgboost","ora","combat_ref","ruvg",0.125
"xgboost","ora","combat_ref","combat_ref",1
